company_name,Assignments,email_invalid,phone_invalid,num_matches,num_jumps,max_change,registered_name,is_registered,trustpilot_score,score_category,is_reviewed
healthwork,1,True,False,2.0,0.0,0.0,healthwork group limited,True,,No Score,False
@001 alpha express testing,1,False,False,4.0,1.0,72.41189047520518,,False,3.9,3-4,True
westwood pharmacy,1,True,False,1.0,0.0,0.0,,False,,No Score,False
samedaydoctor,1,True,False,4.0,1.0,31.03448275862069,samedaydoctor city limited,True,,No Score,False
travel centre clapham,1,True,False,3.0,2.0,4.615384615384616,,False,,No Score,False
.001expert tms limited,0,False,False,3.0,7.0,2304.6092184368736,,False,3.1,3-4,True
004 medical testing,0,True,False,7.0,6.0,209.375,4 medical testing limited,True,3.4,3-4,True
mayfield clinic,1,True,False,1.0,0.0,0.0,the mayfield clinic limited,True,,No Score,False
calder pharmacy & medspa clinic of notting hill,1,True,False,3.0,2.0,45.0,,False,,No Score,False
bansals pharmacy,1,True,False,3.0,1.0,30.681818181818183,,False,,No Score,False
everwell chinese medical centre ltd,1,False,False,3.0,1.0,27.12933753943218,arborvitae chinese medical centre ltd.,True,2.0,1-2,True
rapiditydx,1,True,True,4.0,0.0,0.0,,False,,No Score,False
1affordabletest.com,1,True,False,3.0,2.0,55.13910850891064,,False,2.7,2-3,True
pyramid pharmacy woolwich,1,False,False,3.0,1.0,21.602787456445995,,False,,No Score,False
newcastle premier health,1,True,False,1.0,0.0,0.0,,False,,No Score,False
london screening street,1,True,False,1.0,0.0,0.0,,False,,No Score,False
c & h esher ltd,1,False,True,2.0,0.0,0.0,,False,,No Score,False
118 testing,0,True,False,3.0,5.0,412.0,,False,,No Score,False
travel centre,1,True,False,3.0,2.0,4.615384615384616,travelcentre (clapham) limited,True,,No Score,False
tp healthcare services limited,1,False,False,4.0,1.0,23.943661971830984,tp healthcare ltd,True,,No Score,False
0000covid 19 private test ltd,1,True,False,3.0,1.0,22.115577889447238,covid private tests limited,True,,No Score,False
everythinggeneticlimited,1,False,False,3.0,2.0,82.53968253968253,,False,3.1,3-4,True
01st class testing,1,False,False,4.0,2.0,88.18181818181819,,False,2.1,2-3,True
yourhealthfirst clinic,1,True,False,1.0,1.0,11.11111111111111,,False,4.8,4-5,True
consultant clinic,0,True,False,1.0,5.0,12.903225806451612,consultant clinic birmingham ltd,True,,No Score,False
afforable tfnow,1,True,False,1.0,1.0,745.0,,False,,No Score,False
kings medical centre,1,True,False,3.0,1.0,27.12933753943218,kings house medical centre limited,True,,No Score,False
collingwood health,1,True,False,1.0,1.0,10.582010582010582,collingwood healthcare solutions ltd,True,4.6,4-5,True
chronomics,1,False,False,1.0,1.0,2.857142857142857,,False,,No Score,False
alexandru livinschi (t/a gat c-19),1,False,False,1.0,0.0,0.0,,False,4.6,4-5,True
corona-testing,1,True,False,2.0,1.0,95.26627218934912,,False,3.3,3-4,True
1 harley medic international,1,False,False,4.0,1.0,61.0062893081761,,False,4.4,4-5,True
iqdoctor,1,False,False,1.0,2.0,25.833333333333336,,False,2.7,2-3,True
edgcare private community family doctors,1,True,False,1.0,0.0,0.0,,False,,No Score,False
optipharm pharmacy,1,True,False,1.0,2.0,18.867924528301888,,False,,No Score,False
london corona test centre,1,True,False,2.0,3.0,31.31868131868132,,False,4.4,4-5,True
mobihealth international,1,False,False,1.0,1.0,54.054054054054056,,False,4.9,4-5,True
travel centre clapham ltd,1,True,False,3.0,2.0,4.615384615384616,,False,4.9,4-5,True
outcome diagnostics,0,False,False,3.0,4.0,561.1111111111111,,False,4.4,4-5,True
mhf medical concierge,1,False,False,3.0,1.0,33.20964749536178,,False,3.1,3-4,True
dr tim lebens,1,False,False,1.0,1.0,5.748275862068971,,False,,No Score,False
summerfield healthcare,1,True,False,1.0,0.0,0.0,summerfields healthcare limited,True,,No Score,False
queen anne street medical centre,1,False,False,2.0,1.0,20.8,,False,,No Score,False
remedi health,1,True,False,1.0,0.0,0.0,,False,,No Score,False
baseline medicine,1,True,False,1.0,1.0,31.746031746031743,,False,2.6,2-3,True
.expert doctors,0,True,False,3.0,9.0,1081.081081081081,expert doctors ltd,True,3.0,2-3,True
easter pharmacy,1,True,False,4.0,1.0,6.666666666666667,,False,,No Score,False
